,k-means,IMM,RandomIMM,ExKMC,CART,Unsupervised,Unsupervised Obl.,Centroid,Centroid Obl.,Hybrid,Hybrid Obl.
6,91.89185010150574,100.8187330069213,106.96995185011676,100.8187330069213,120.4368363817064,102.94377508606682,103.08237261951938,103.68780031904117,94.92045669701102,103.68780031904117,94.92045669701102
7,91.89185010150574,100.8187330069213,106.96995185011676,97.55589872995584,120.11155561832155,102.94377508606682,103.08237261951938,97.88751925975558,94.19880563513522,103.68780031904114,94.19880563513522
8,91.89185010150574,100.8187330069213,106.96995185011676,95.89729973777014,116.16003765183704,102.94377508606682,99.62131148143115,95.13324060545281,93.46655280097721,99.42305528173145,93.46655280097721
9,91.89185010150574,100.8187330069213,106.96995185011676,95.20260111531803,112.95608958987461,102.94377508606682,99.62131148143114,94.0973513005114,92.94027045874978,96.71162409228197,92.94027045874978
10,91.89185010150574,100.8187330069213,106.96995185011676,94.55132897835583,95.6393531282489,102.94377508606682,99.62131148143114,93.59672938458581,92.91325019316827,95.87240890733221,92.94027045874978
11,91.89185010150574,100.8187330069213,106.96995185011676,94.18908488679357,95.08082135090352,102.94377508606682,99.62131148143114,93.25686841876964,92.71867151436095,95.61283413840454,92.74528624223578
12,91.89185010150574,100.8187330069213,106.96995185011676,93.8938629049627,95.08082135090352,102.94377508606682,99.62131148143114,93.06374972235017,92.56397572251028,95.40233978367118,92.74528624223578
13,91.89185010150574,100.8187330069213,106.96995185011676,93.6464959558988,95.08082135090352,102.16646678125186,99.62131148143114,92.90586774528606,92.47312390253676,95.40233978367118,92.62228947167077
14,91.89185010150574,100.8187330069213,106.96995185011676,93.4291016282418,94.92840418797286,102.16646678125186,99.62131148143114,92.751052535627,92.37212694590878,94.8945857909883,92.62228947167077
15,91.89185010150574,100.8187330069213,106.96995185011676,93.23858354880439,94.56912091729401,100.26846727369058,99.62131148143114,92.751052535627,92.37212694590878,94.64319737012653,92.47142071156256
16,91.89185010150574,100.8187330069213,106.96995185011676,93.05987646720502,94.42372950077407,100.26846727369058,99.62131148143114,92.63465716608064,92.28241844619515,94.48967223991261,92.40247996154949
17,91.89185010150574,100.8187330069213,106.96995185011676,92.88227197299709,93.31524158091138,100.26846727369058,99.62131148143114,92.63465716608064,92.1698268232117,94.48967223991261,92.40247996154949
18,91.89185010150574,100.8187330069213,106.96995185011676,92.73089644739973,93.26012979660003,99.25344995502732,99.29504184053081,92.49287964492503,92.1698268232117,94.3458074379394,92.29988570793759
19,91.89185010150574,100.8187330069213,106.96995185011676,92.58139939420542,93.10141133595391,99.25344995502732,99.29504184053081,92.49287964492503,92.06797015277768,94.3458074379394,92.29988570793759
20,91.89185010150574,100.8187330069213,106.96995185011676,92.48126105068097,92.82435791081889,99.50003111498667,98.34402664205794,92.41248231642697,92.06797015277768,94.21607322694028,92.23922649614983
21,91.89185010150574,100.8187330069213,106.96995185011676,92.41249991019265,92.82435791081889,99.50003111498667,97.74066082443142,92.41248231642697,91.99159647441446,94.21607322694028,92.23922649614983
22,91.89185010150574,100.8187330069213,106.96995185011676,92.35837117125838,92.82435791081889,99.76027042671062,97.74066082443142,92.37563020759035,91.99159647441446,94.12664158415573,92.13019189269671
23,91.89185010150574,100.8187330069213,106.96995185011676,92.30453953314829,92.75825661741652,97.8365436205957,97.63697497797975,92.3278297777674,91.93981845041986,94.12664158415573,92.13019189269671
24,91.89185010150574,100.8187330069213,106.96995185011676,92.27266430522653,92.72444412276351,97.8365436205957,97.63697497797975,92.3278297777674,91.90689238376727,94.02867411094256,92.06660834612276
